method_of_phasing	ground_truth_data_source	genome_grch38	chrom	interval	start_grch38	end_grch38	n_switch_errors_grch38	n_checked_grch38	n_gt_errors_grch38	n_gt_checked_grch38	MAC_grch38	AN_grch38	multiallelic_grch38	MAF_grch38	decipher	switch_error_rate_grch38	genotype_error_rate_grch38	genome_chm13	start_chm13	end_chm13	n_switch_errors_chm13	n_checked_chm13	n_gt_errors_chm13	n_gt_checked_chm13	MAC_chm13	AN_chm13	multiallelic_chm13	MAF_chm13	switch_error_rate_chm13	genotype_error_rate_chm13	abs_diff_SER	rel_drop_SER	abs_diff_GER	rel_drop_GER
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q22.1	58800000	59000000	111	6194	758	43874	568163	5458500	302	11709.856	False	1.7920568291895385	1.7276747048365775	CHM13v2.0	56602018	56802078	67	5905	568	41339	533397	5143120	270	10993.331	1.1346316680779	1.3740051767096446	0.6574251611116384	36.68550853986926	0.35366952812693286	20.470840207178163
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr9	9p13.1	37900000	39000000	802	43454	7429	312420	3827999	39034340	1225	78895.13	False	1.8456298614626963	2.3778887395173163	CHM13v2.0	37923910	39013701	422	35375	2244	241082	3071469	30237664	957	63303.086	1.1929328621908126	0.9308036269816908	0.6526969992718836	35.36445811266886	1.4470851125356254	60.85587977633331
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2q12.2	105300000	106700000	726	65312	3423	410177	5801295	51033336	1750	119565.46	False	1.1115874571288584	0.8345177813480521	CHM13v2.0	105761211	107161426	436	58469	2366	356355	5189257	44337576	1413	106951.07	0.7456942995433478	0.6639446619242048	0.36589315758551066	32.91627260086071	0.17057311942384734	20.439722584258092
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr14	14q11.2	18200000	24100000	4639	235393	68231	1500779	20765902	186918448	6677	427992.22	False	1.9707467936599645	4.546372250677814	CHM13v2.0	12708411	18298312	2596	195997	12875	1183890	16891247	147330980	5120	348133.88	1.324510069031669	1.0875165767089847	0.6462367246282956	32.79146396215313	3.45885567396883	76.07946475243315
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q22.33	67000000	67200000	112	9672	481	55300	869415	6880136	228	17918.691	False	1.1579818031430935	0.8698010849909584	CHM13v2.0	64821874	65021911	74	9395	323	53469	834793	6652092	200	17205.127	0.7876530069185737	0.6040883502590286	0.37032879622451986	31.980536759674607	0.2657127347319298	30.548678234253046
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2q21.1	129100000	131700000	1305	101019	24637	705785	9052822	89174908	2967	186580.83	False	1.2918361892317287	3.490723095560263	CHM13v2.0	129528325	132134645	685	73727	12799	495197	6488087	62634468	2104	133720.38	0.9291033135757591	2.584627935952762	0.36273287565596957	28.078860050490718	0.9060951596075006	25.957233925542067
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr16	16p13.11	14700000	16700000	997	43526	19424	306634	3880844	39281792	1895	79984.66	True	2.2905849377383634	6.334587814788967	CHM13v2.0	14730876	16712187	601	35979	10936	245586	3114491	31387588	1547	64189.97	1.6704188554434531	4.4530225664329395	0.6201660822949102	27.074572615815708	1.8815652483560275	29.703041513818064
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q23.2	86100000	87700000	747	60453	5158	417130	5302507	51984328	2023	109284.78	False	1.235670686318297	1.2365449620022535	CHM13v2.0	86980090	88583858	440	48797	2836	334141	4223646	41615604	1618	87049.35	0.9016947763182163	0.8487434945127955	0.33397591000008064	27.02790587313906	0.387801467489458	31.3616956444121
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xp22.13	17400000	19200000	426	19924	3289	276042	2556363	34342456	1689	52686.84	False	2.138124874523188	1.1914853536780634	CHM13v2.0	16982597	18782737	288	18348	2044	246870	2327416	30713160	1359	47968.2	1.5696533682145193	0.8279661360230081	0.5684715063086687	26.587385661253325	0.36351921765505535	30.509751255681607
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q23.32	91100000	92300000	471	38462	2792	262613	3135962	32673368	1365	64632.35	False	1.2245853049763402	1.0631613819574812	CHM13v2.0	91983671	93182363	312	34663	1417	229151	2819537	28510352	1065	58110.832	0.9000952023771744	0.618369546718103	0.3244901025991658	26.497958229658416	0.44479183523937826	41.83671856293655
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr16	16p11.2	28500000	35300000	1850	93075	23652	769414	8285757	96341312	4571	170769.12	True	1.98764437281762	3.074027766585999	CHM13v2.0	28752507	35848286	944	64534	10709	491006	5906863	61106088	3170	121740.7	1.4627948058387825	2.181032411009234	0.5248495669788376	26.40560726840827	0.8929953555767653	29.0496841077178
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr21	21q11.2	13000000	15000000	935	78630	10013	534190	7620009	66467548	2263	157048.9	False	1.189113569884268	1.8744267021097363	CHM13v2.0	11306205	13355188	526	59575	4601	388944	5803176	49665072	1923	119604.22	0.8829206882081411	1.1829466452754125	0.306192881676127	25.749675172399854	0.6914800568343238	36.89021587539473
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq27.1	138900000	141200000	651	40838	6377	449007	5374830	55861076	2270	110775.64	False	1.5941035310250258	1.4202451186729828	CHM13v2.0	137210433	139517370	436	36829	4584	400374	4752036	49810632	1975	97939.875	1.1838496836731924	1.1449294909259842	0.41025384735183335	25.73570909086662	0.2753156277469986	19.385078260592227
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq13.2	73000000	74700000	364	18645	5384	245349	2818365	30523932	1291	58086.73	False	1.9522660230624833	2.1944250842677167	CHM13v2.0	71433508	73133628	240	16538	4397	212160	2454785	26394880	1053	50593.305	1.4512032893941227	2.0724924585218703	0.5010627336683606	25.66569964078732	0.1219326257458464	5.556472472904472
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10p11.21	34200000	38000000	1669	144288	17025	1066138	11828872	132648828	5338	243790.17	False	1.1567143490796186	1.596885206230338	CHM13v2.0	34228529	39633793	1714	197347	18062	1375841	16091303	171319268	7219	331641.88	0.8685209301382844	1.3127970455888436	0.2881934189413342	24.914830456684978	0.28408816064149445	17.790142931571307
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q24.2	74900000	76300000	631	41280	3937	310917	3606066	38723812	1685	74321.52	True	1.5285852713178294	1.2662543379744433	CHM13v2.0	72769881	74171079	414	35956	2605	268357	3120322	33415724	1366	64310.12	1.1514072755590166	0.9707218369559952	0.37717799575881283	24.674972527612983	0.2955325010184481	23.339110647486116
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq22.3	104500000	109400000	959	63798	7824	703365	8109603	87505820	3688	167140.0	False	1.5031819179284618	1.112366978737924	CHM13v2.0	102931146	107847498	655	57598	5220	624078	7259693	77641704	3072	149623.47	1.1371922636202645	0.836433907300049	0.3659896543081973	24.347662112152623	0.27593307143787504	24.805938751521083
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q15.2	42500000	43300000	269	16517	1744	166936	1399751	20771412	994	28848.975	False	1.628625052975722	1.044711745818757	CHM13v2.0	40306040	41107300	190	15331	1111	150364	1276565	18709312	817	26310.102	1.2393190268084273	0.7388736665691256	0.3893060261672947	23.903968900391103	0.30583807924963136	29.274877062853477
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q24.3	76300000	78000000	665	62380	5100	436339	5159315	54322992	1875	106334.02	False	1.06604680987496	1.168815989402735	CHM13v2.0	74171079	75862542	437	53851	3651	376803	4347750	46913988	1630	89607.6	0.8114983937159941	0.9689413300849516	0.25454841615896595	23.877789774430514	0.19987465931778337	17.100609602365157
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6q23.3	134700000	138300000	1405	131459	6690	917610	10808066	114167560	4186	222755.98	False	1.0687742946470002	0.7290679046653807	CHM13v2.0	135888233	139488489	1011	123967	5011	858152	10138846	106768260	3582	208962.86	0.8155396194148443	0.5839291873700697	0.2532346752321559	23.693933929782197	0.14513871729531103	19.90743473502995
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr11	11p15.2	13800000	16900000	953	102432	5640	692601	8885126	86171520	2841	183122.77	False	0.9303733208372383	0.8143216657209563	CHM13v2.0	13892569	16997372	630	88730	3335	593947	7650318	73895960	2381	157674.06	0.7100191592471543	0.5614979114298078	0.22035416159008403	23.68448843651153	0.25282375429114856	31.047160469114143
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr15	15q25.2	81400000	84700000	1378	82862	8849	661557	7503260	82333588	3366	154642.88	False	1.6630059617194854	1.3376020509192708	CHM13v2.0	79264071	82452409	922	72594	5295	570402	6468796	70975056	2751	133323.34	1.2700774168664077	0.9282926777956599	0.3929285448530777	23.62760891408978	0.4093093731236108	30.600235162790888
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq22.2	103300000	104500000	255	12141	3092	152139	1810423	18927652	929	37312.977	True	2.100321225599209	2.0323519939003147	CHM13v2.0	101746979	102931146	176	10962	2615	135681	1640628	16880108	786	33813.45	1.60554643313264	1.9273148045783859	0.4947747924665693	23.55710100132007	0.10503718932192885	5.16825774458245
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3q25.2	152300000	155300000	1295	117186	6718	823420	9666588	102454832	3604	199227.69	False	1.1050808117010564	0.8158655364212675	CHM13v2.0	155067896	158073984	907	106991	4020	745929	8749711	92813908	3028	180331.66	0.8477348562028583	0.5389252864548771	0.25734595549819816	23.28752366101301	0.27694024996639033	33.94434960216211
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr5	5q13.2	69100000	74000000	1287	125530	12539	802150	10860640	99912384	3735	223838.86	False	1.0252529275870308	1.5631739699557439	CHM13v2.0	69922486	74481328	789	100064	4367	632199	8483158	78655772	2798	174838.95	0.7884953629677007	0.6907635095911256	0.23675756461933006	23.092600688939015	0.8724104603646182	55.8101962502176
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr18	18p11.23	7200000	8500000	603	59752	2736	397317	4965607	49437028	1647	102341.734	False	1.009171241130004	0.6886189113478658	CHM13v2.0	7363114	8663156	436	55984	1804	372387	4604344	46331748	1411	94896.07	0.778793941126036	0.4844422603366928	0.23037730000396806	22.8283655552854	0.204176651011173	29.65016610007537
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq27.2	141200000	143000000	541	42920	5699	446238	6278413	55516584	1943	129398.83	False	1.2604846225535882	1.277121177488246	CHM13v2.0	139517370	141308643	364	37379	3742	377637	5466422	46981916	1620	112663.484	0.9738088231359854	0.9908986672386445	0.2866757994176028	22.74330002033921	0.28622251024960155	22.411538959249288
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr14	14q31.2	83100000	84400000	483	48894	2490	338419	4073845	42105656	1427	83962.03	False	0.9878512700944901	0.735774291632562	CHM13v2.0	77312020	78613483	350	45660	1617	317172	3776881	39461316	1255	77841.45	0.7665352606219886	0.5098180167227876	0.22131600947250152	22.403778399893348	0.22595627490977443	30.709998634012425
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr17	17q23.3	63100000	64600000	639	42975	3996	344748	3795559	42891680	1880	78226.6	False	1.486910994764398	1.1591075220160811	CHM13v2.0	63970246	65469760	416	36007	2653	287190	3156243	35730128	1543	65050.47	1.1553309078790237	0.9237786831017792	0.3315800868853742	22.29992837855862	0.2353288389143019	20.30258922873568
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q26.3	128800000	133797422	2442	244190	18769	1611852	20618953	200581680	6520	424958.66	False	1.0000409517179245	1.164436933415723	CHM13v2.0	129725246	134758134	1795	230983	13064	1503886	19369474	187136788	5403	399206.78	0.7771134672248607	0.868682865589546	0.22292748449306377	22.291835560344488	0.29575406782617697	25.398891029557202
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2p23.2	27700000	29800000	928	83216	5088	564662	7206766	70256960	2469	148532.31	False	1.1151701595846952	0.9010700206495214	CHM13v2.0	27743068	29843598	688	79301	3380	531021	6774357	66069684	2114	139620.23	0.8675804844831717	0.6365096672259666	0.24758967510152352	22.201963796603863	0.2645603534235548	29.36068755598492
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr8	8p23.3	0	2300000	1415	130782	6513	853269	11173510	106176316	3708	230287.53	False	1.0819531739841874	0.7632997331439441	CHM13v2.0	0	2084125	900	106834	2809	682955	9112744	84982780	2624	187814.5	0.8424284403841473	0.41130089098110423	0.23952473360004012	22.138179300127526	0.35199884216283983	46.11541533140553
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr1	1q21.2	147500000	150600000	839	55408	9496	444492	4172185	55875632	2399	85989.36	True	1.5142217730291654	2.1363714082593166	CHM13v2.0	147308041	149724009	449	38057	3997	267803	3121063	33410872	1734	64325.727	1.1798092335181438	1.4925150203694508	0.33441253951102157	22.084779486563388	0.6438563878898658	30.137848943338476
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq13.1	68500000	73000000	972	58039	12653	722163	8473279	89844484	4029	174635.92	False	1.6747359534106376	1.7520975181503344	CHM13v2.0	66933457	71433508	670	51267	8610	622323	7428800	77423364	3251	153109.1	1.3068835703278912	1.3835259182128894	0.3678523830827465	21.964798828950126	0.36857159993744504	21.036020890352102
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr8	8q23.2	109500000	111100000	598	48315	3659	376156	3814508	46802392	1625	78618.055	False	1.237710855841871	0.9727347164474314	CHM13v2.0	110628554	112228628	420	43437	2642	338272	3389836	42086248	1438	69864.58	0.9669176048069618	0.7810282849304702	0.27079325103490925	21.878555056440874	0.1917064315169612	19.70798700565566
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10q24.31	100100000	101200000	466	40795	3204	279057	3185598	34720912	1510	65655.305	False	1.1422968501041793	1.148152527978155	CHM13v2.0	100984294	102083356	340	38017	2248	256207	2952856	31877640	1226	60858.49	0.894336744088171	0.8774155272884816	0.24796010601600826	21.7071513410366	0.27073700068967343	23.580229463626157
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr16	16p12.3	16700000	21200000	2336	178083	22861	1168811	15743437	145647336	6161	324475.47	False	1.3117478928364865	1.955919306029803	CHM13v2.0	16712187	21130950	1585	153966	11087	990025	13370403	123206836	5152	275565.75	1.02944805996129	1.1198707103355976	0.28229983287519644	21.520890898079447	0.8360485956942054	42.74453414907221
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xq28	148000000	156040895	1744	107881	25861	1280916	15251382	159359088	5930	314337.7	True	1.61659606418183	2.018945816899781	CHM13v2.0	146265526	154259566	1251	98330	20032	1142661	13672102	142158748	5216	281784.28	1.272246516831079	1.7531008759378328	0.34434954735075096	21.3009022464142	0.26584494096194833	13.167512408538528
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2q12.3	106700000	108700000	817	78565	5035	527210	7030621	65594188	2188	144902.0	False	1.0399032648125754	0.9550274084330722	CHM13v2.0	107161426	109160598	571	69766	2643	459586	6146955	57180820	1821	126689.72	0.8184502479717914	0.575082791904018	0.221453016840784	21.29554010782888	0.3799446165290542	39.78363481236994
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr11	11p14.1	27200000	31000000	1148	122978	6906	837169	10946625	104157884	3507	225610.95	False	0.9335003008668217	0.8249230442121006	CHM13v2.0	27340466	31136090	778	105883	4388	720572	9356571	89650404	2889	192839.44	0.7347732874965764	0.6089606590319913	0.19872701337024523	21.28837164655577	0.21596238518010935	26.179700845474507
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr16	16q22.1	66600000	70800000	1956	118386	15403	925810	9285952	115254408	6080	191384.58	False	1.6522223911611171	1.6637322992838703	CHM13v2.0	72394295	76611172	1369	105254	9879	797875	8098036	99296180	4995	166902.0	1.3006631576947194	1.2381638727870907	0.3515592334663977	21.27796084517023	0.4255684264967796	25.579140747580574
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3p25.1	13200000	16300000	1234	133125	6336	830103	11680798	103279672	3440	240743.8	False	0.9269483568075116	0.7632787738389092	CHM13v2.0	13200348	16301213	908	124424	4013	774156	10842634	96321904	2941	223469.28	0.729762746736964	0.5183709743255881	0.1971856100705477	21.272556191767965	0.2449077995133211	32.08628458008308
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10p11.23	29300000	31100000	946	99964	6278	617723	8920766	76855680	3077	183857.7	False	0.9463406826457524	1.0163131371180933	CHM13v2.0	29331681	31131269	679	91095	3937	557025	8080059	69305968	2548	166531.06	0.7453757066798398	0.7067905390242808	0.20096497596591267	21.236007248896925	0.30952259809381255	30.455436104221757
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2p11.2	83100000	91800000	2008	175329	15799	1244644	14527957	154875840	5854	299423.06	False	1.145275453575849	1.2693589492256419	CHM13v2.0	83100333	92333543	1445	160186	14312	1117232	13136502	139019504	5317	270744.03	0.9020763362590988	1.2810230999470118	0.24319911731675015	21.2349890637592	-0.011664150721369948	-0.9189008931228981
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3q12.2	100300000	101200000	325	40272	1902	259293	3279322	32260948	1073	67587.07	False	0.8070123162495033	0.7335331073341741	CHM13v2.0	103005343	103905942	230	36183	1133	233204	2910733	29014960	902	59990.47	0.6356576292734157	0.48584072314368537	0.17135468697608758	21.23321831969538	0.24769238419048872	33.76703542266266
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2p25.3	0	4400000	1915	216784	9226	1412179	18672208	175763700	5770	384839.9	False	0.8833677762196472	0.6533166121291989	CHM13v2.0	0	4423386	1430	204861	6079	1312828	17604714	163381396	4791	362838.44	0.6980342768999468	0.463046187314713	0.18533349931970045	20.980332802361325	0.19027042481448592	29.123769590732273
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2q14.1	112200000	118100000	2347	234765	13248	1614428	20401237	200867948	7014	420477.22	False	0.9997231273827019	0.8206002373596097	CHM13v2.0	112626870	118533173	1624	204830	8488	1397367	17808680	173856864	5741	367041.3	0.792852609481033	0.6074281130154068	0.20687051790166888	20.69278105461666	0.21317212434420296	25.97758502119285
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2p25.2	4400000	6900000	1294	122305	6263	806929	10415634	100407288	3420	214666.64	False	1.0580107109275991	0.7761525487372495	CHM13v2.0	4423386	6921497	974	116013	4662	762695	9813907	94905120	3045	202265.33	0.8395610836716574	0.6112535154943982	0.21844962725594175	20.64720375698451	0.16489903324285127	21.245698865658746
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr5	5p15.33	0	4400000	2945	245251	22606	1547608	21946843	192779664	6627	452332.78	False	1.2008105981219241	1.4607058118076413	CHM13v2.0	0	4327607	1914	200692	9726	1259586	17780046	156797232	4941	366451.38	0.9537001973172822	0.7721584711167002	0.24711040080464197	20.578632566295163	0.688547340690941	47.13798871237839
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6q21	105000000	114200000	4078	351672	22393	2376223	29457658	295646916	11392	607138.75	False	1.1596032666803158	0.9423778828838875	CHM13v2.0	106176013	115383115	2994	324995	14582	2166796	27084925	269586824	9390	558231.0	0.9212449422298805	0.6729752131718907	0.23835832445043525	20.555161519404976	0.2694026697119968	28.587541643864167
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr2	2q14.3	121600000	129100000	2895	309381	18410	2166326	26499068	269577120	9301	546165.1	False	0.9357394280838189	0.8498259264764398	CHM13v2.0	122035284	129528325	2170	291017	12932	2013482	24818880	250566984	7933	511532.25	0.7456609064075295	0.6422704548637634	0.19007852167628947	20.31318933151368	0.2075554716126764	24.423292482172887
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chrX	Xp21.3	24900000	29300000	918	75551	7373	787059	10621801	97918212	3720	218916.61	False	1.215073261770195	0.9367785642499482	CHM13v2.0	24484237	28892068	684	70639	5148	724308	9904924	90111344	3173	204141.4	0.968303628307309	0.7107473616196425	0.24676963346288594	20.309033309100755	0.22603120263030574	24.128562635427343
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr3	3p26.3	0	2800000	1428	167728	7009	1078601	14019907	134254840	4449	288952.2	False	0.8513784222073834	0.6498232432567742	CHM13v2.0	0	2794029	1026	151157	4631	971601	12552502	120936100	3782	258708.84	0.6787644634386764	0.47663598534789486	0.172613958768707	20.274645711735072	0.17318725790887934	26.651440942755766
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr16	16q24.3	88700000	90338345	912	72110	5924	504316	6324549	62833400	2690	130349.63	False	1.2647344335043684	1.1746603320140547	CHM13v2.0	94769136	96330374	659	65261	3716	443014	5685988	55196352	2180	117188.805	1.0097914527819065	0.8387996767596508	0.2549429807224619	20.15782712707974	0.3358606552544039	28.59215094788655
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr13	13q14.13	45200000	46700000	674	59316	4075	377358	5243204	47015880	1816	108063.17	False	1.1362870051925282	1.079876403839325	CHM13v2.0	44420051	45921251	436	48033	2120	307727	4227085	38330800	1427	87120.47	0.9077092832011326	0.688922324007968	0.2285777219913956	20.116196079586967	0.3909540798313569	36.20359500785305
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr16	16p12.1	24200000	28500000	2309	190810	15458	1249705	16458105	155487192	6393	339205.2	True	1.2101042922278706	1.23693191593216	CHM13v2.0	24476520	28752507	1757	181210	10751	1175503	15493515	146253836	5693	319325.25	0.9695932895535566	0.914587202244486	0.24051100267431402	19.87522928552874	0.3223447136876739	26.060020728364254
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr6	6q27	164100000	170805979	3319	336455	25213	2064648	29983121	256908548	8360	617960.3	False	0.9864617853799171	1.2211766848392558	CHM13v2.0	165464819	172126628	2450	309656	16380	1887364	27470317	234841652	6982	566175.75	0.7912005580385977	0.8678771026680598	0.19526122734131945	19.79409950139308	0.35329958217119595	28.931078242596897
1kgp_variation_phased_with_reference_panel	HPRC_samples	GRCh38	chr10	10p12.2	22300000	24300000	738	77911	4123	561966	6212144	69922172	2568	128032.63	False	0.9472346651949018	0.7336742792268571	CHM13v2.0	22319034	24318538	544	71565	2777	513399	5671298	63876580	2145	116885.92	0.760148117096346	0.5409048323039196	0.18708654809855585	19.750813074399165	0.19276944692293752	26.274527045718045
